codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
57234,1,FALSE,5750,5750,FALSE,5750
57235,1,FALSE,5704,5704,FALSE,5704
57236,1,FALSE,5707,5707,FALSE,5707
57237,1,FALSE,5714,5714,FALSE,5714
57238,1,FALSE,5706,5706,FALSE,5706
57239,1,FALSE,5714,5714,FALSE,5714
57240,1,FALSE,5741,5741,FALSE,5741
57241,1,FALSE,5725,5725,FALSE,5725
57242,1,FALSE,5722,5722,FALSE,5722
57243,0,TRUE,NA,NA,FALSE,missing_canton_57243
57244,1,FALSE,5724,5724,FALSE,5724
57245,1,FALSE,5705,5705,FALSE,5705
57246,1,FALSE,5708,5708,FALSE,5708
57247,1,FALSE,5706,5706,FALSE,5706
57248,1,FALSE,5701,5701,FALSE,5701
57249,1,FALSE,5735,5735,FALSE,5735
57250,1,FALSE,5702,5702,FALSE,5702
57251,1,FALSE,5733,5733,FALSE,5733
57252,1,FALSE,5703,5703,FALSE,5703
57253,1,FALSE,5725,5725,FALSE,5725
57254,1,FALSE,5713,5713,FALSE,5713
57255,1,FALSE,5710,5710,FALSE,5710
57256,1,FALSE,5713,5713,FALSE,5713
57257,1,FALSE,5706,5706,FALSE,5706
57258,1,FALSE,5714,5714,FALSE,5714
57259,1,FALSE,5731,5731,FALSE,5731
57260,1,FALSE,5750,5750,FALSE,5750
57261,1,FALSE,5726,5726,FALSE,5726
57262,1,FALSE,5714,5714,FALSE,5714
57263,1,FALSE,5750,5750,FALSE,5750
57264,1,FALSE,5750,5750,FALSE,5750
57265,1,FALSE,5708,5708,FALSE,5708
57266,1,FALSE,5708,5708,FALSE,5708
57267,1,FALSE,5728,5728,FALSE,5728
57268,1,FALSE,5708,5708,FALSE,5708
57269,1,FALSE,5721,5721,FALSE,5721
57270,1,FALSE,5708,5708,FALSE,5708
57271,1,FALSE,5741,5741,FALSE,5741
57272,1,FALSE,5725,5725,FALSE,5725
57273,1,FALSE,5704,5704,FALSE,5704
57274,1,FALSE,5703,5703,FALSE,5703
57275,1,FALSE,5714,5714,FALSE,5714
57276,1,FALSE,5709,5709,FALSE,5709
57277,1,FALSE,5703,5703,FALSE,5703
57278,1,FALSE,5701,5701,FALSE,5701
57279,0,TRUE,NA,NA,FALSE,missing_canton_57279
57280,1,FALSE,5724,5724,FALSE,5724
57281,1,FALSE,5706,5706,FALSE,5706
57282,1,FALSE,5705,5705,FALSE,5705
57283,1,FALSE,5743,5743,FALSE,5743
57284,1,FALSE,5709,5709,FALSE,5709
57285,0,TRUE,NA,NA,FALSE,missing_canton_57285
57286,1,FALSE,5731,5731,FALSE,5731
57287,1,FALSE,5721,5721,FALSE,5721
57288,1,FALSE,5703,5703,FALSE,5703
57289,1,FALSE,5750,5750,FALSE,5750
57290,1,FALSE,5706,5706,FALSE,5706
57291,1,FALSE,5724,5724,FALSE,5724
57292,1,FALSE,5707,5707,FALSE,5707
57293,1,FALSE,5709,5709,FALSE,5709
57294,1,FALSE,5702,5702,FALSE,5702
57295,1,FALSE,5706,5706,FALSE,5706
57296,1,FALSE,5704,5704,FALSE,5704
57297,1,FALSE,5714,5714,FALSE,5714
57298,1,FALSE,5729,5729,FALSE,5729
57299,1,FALSE,5729,5729,FALSE,5729
57300,1,FALSE,5724,5724,FALSE,5724
57301,1,FALSE,5702,5702,FALSE,5702
57302,1,FALSE,5716,5716,FALSE,5716
57303,1,FALSE,5743,5743,FALSE,5743
57304,1,FALSE,5729,5729,FALSE,5729
57305,1,FALSE,5711,5711,FALSE,5711
57306,1,FALSE,5715,5715,FALSE,5715
57307,1,FALSE,5735,5735,FALSE,5735
57308,1,FALSE,5728,5728,FALSE,5728
57309,1,FALSE,5704,5704,FALSE,5704
57310,1,FALSE,5710,5710,FALSE,5710
57311,1,FALSE,5714,5714,FALSE,5714
57312,1,FALSE,5703,5703,FALSE,5703
57313,1,FALSE,5709,5709,FALSE,5709
57314,1,FALSE,5716,5716,FALSE,5716
57315,1,FALSE,5724,5724,FALSE,5724
57316,1,FALSE,5741,5741,FALSE,5741
57317,1,FALSE,5724,5724,FALSE,5724
57318,1,FALSE,5716,5716,FALSE,5716
57319,1,FALSE,5709,5709,FALSE,5709
57320,1,FALSE,5725,5725,FALSE,5725
57321,1,FALSE,5729,5729,FALSE,5729
57322,1,FALSE,5704,5704,FALSE,5704
57323,1,FALSE,5705,5705,FALSE,5705
57324,1,FALSE,5710,5710,FALSE,5710
57325,1,FALSE,5728,5728,FALSE,5728
57326,1,FALSE,5703,5703,FALSE,5703
57327,0,TRUE,NA,NA,FALSE,missing_canton_57327
57328,1,FALSE,5709,5709,FALSE,5709
57329,1,FALSE,5703,5703,FALSE,5703
57330,1,FALSE,5728,5728,FALSE,5728
57331,1,FALSE,5721,5721,FALSE,5721
57332,1,FALSE,5749,5749,FALSE,5749
57333,1,FALSE,5729,5729,FALSE,5729
57334,1,FALSE,5729,5729,FALSE,5729
57335,1,FALSE,5701,5701,FALSE,5701
57336,1,FALSE,5749,5749,FALSE,5749
57337,1,FALSE,5741,5741,FALSE,5741
57338,1,FALSE,5736,5736,FALSE,5736
57339,1,FALSE,5724,5724,FALSE,5724
57340,1,FALSE,5750,5750,FALSE,5750
57341,1,FALSE,5731,5731,FALSE,5731
57342,1,FALSE,5725,5725,FALSE,5725
57343,1,FALSE,5738,5738,FALSE,5738
57344,1,FALSE,5729,5729,FALSE,5729
57345,1,FALSE,5721,5721,FALSE,5721
57346,1,FALSE,5701,5701,FALSE,5701
57347,1,FALSE,5701,5701,FALSE,5701
57348,1,FALSE,5750,5750,FALSE,5750
57349,1,FALSE,5707,5707,FALSE,5707
57350,1,FALSE,5713,5713,FALSE,5713
57351,1,FALSE,5733,5733,FALSE,5733
57352,1,FALSE,5713,5713,FALSE,5713
57353,1,FALSE,5734,5734,FALSE,5734
57354,1,FALSE,5707,5707,FALSE,5707
57355,1,FALSE,5726,5726,FALSE,5726
57356,1,FALSE,5705,5705,FALSE,5705
