codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
20150,0,TRUE,NA,NA,FALSE,missing_canton_20150
20152,0,TRUE,NA,NA,FALSE,missing_canton_20152
20153,0,TRUE,NA,NA,FALSE,missing_canton_20153
20154,0,TRUE,NA,NA,FALSE,missing_canton_20154
20155,0,TRUE,NA,NA,FALSE,missing_canton_20155
20156,0,TRUE,NA,NA,FALSE,missing_canton_20156
20157,0,TRUE,NA,NA,FALSE,missing_canton_20157
20158,0,TRUE,NA,NA,FALSE,missing_canton_20158
20159,0,TRUE,NA,NA,FALSE,missing_canton_20159
20160,0,TRUE,NA,NA,FALSE,missing_canton_20160
20161,0,TRUE,NA,NA,FALSE,missing_canton_20161
20162,0,TRUE,NA,NA,FALSE,missing_canton_20162
20163,0,TRUE,NA,NA,FALSE,missing_canton_20163
20164,0,TRUE,NA,NA,FALSE,missing_canton_20164
20165,0,TRUE,NA,NA,FALSE,missing_canton_20165
20166,0,TRUE,NA,NA,FALSE,missing_canton_20166
20167,0,TRUE,NA,NA,FALSE,missing_canton_20167
20168,0,TRUE,NA,NA,FALSE,missing_canton_20168
20169,0,TRUE,NA,NA,FALSE,missing_canton_20169
20170,0,TRUE,NA,NA,FALSE,missing_canton_20170
20171,0,TRUE,NA,NA,FALSE,missing_canton_20171
20172,0,TRUE,NA,NA,FALSE,missing_canton_20172
20173,0,TRUE,NA,NA,FALSE,missing_canton_20173
20174,0,TRUE,NA,NA,FALSE,missing_canton_20174
20175,0,TRUE,NA,NA,FALSE,missing_canton_20175
20176,0,TRUE,NA,NA,FALSE,missing_canton_20176
20177,0,TRUE,NA,NA,FALSE,missing_canton_20177
20178,0,TRUE,NA,NA,FALSE,missing_canton_20178
20179,0,TRUE,NA,NA,FALSE,missing_canton_20179
20180,0,TRUE,NA,NA,FALSE,missing_canton_20180
20181,0,TRUE,NA,NA,FALSE,missing_canton_20181
20182,0,TRUE,NA,NA,FALSE,missing_canton_20182
20183,0,TRUE,NA,NA,FALSE,missing_canton_20183
20184,0,TRUE,NA,NA,FALSE,missing_canton_20184
20185,0,TRUE,NA,NA,FALSE,missing_canton_20185
20186,0,TRUE,NA,NA,FALSE,missing_canton_20186
20187,0,TRUE,NA,NA,FALSE,missing_canton_20187
20188,0,TRUE,NA,NA,FALSE,missing_canton_20188
20189,0,TRUE,NA,NA,FALSE,missing_canton_20189
20190,0,TRUE,NA,NA,FALSE,missing_canton_20190
20191,0,TRUE,NA,NA,FALSE,missing_canton_20191
20192,0,TRUE,NA,NA,FALSE,missing_canton_20192
20193,0,TRUE,NA,NA,FALSE,missing_canton_20193
20194,0,TRUE,NA,NA,FALSE,missing_canton_20194
20195,0,TRUE,NA,NA,FALSE,missing_canton_20195
20196,0,TRUE,NA,NA,FALSE,missing_canton_20196
20197,0,TRUE,NA,NA,FALSE,missing_canton_20197
20198,0,TRUE,NA,NA,FALSE,missing_canton_20198
20199,0,TRUE,NA,NA,FALSE,missing_canton_20199
20200,0,TRUE,NA,NA,FALSE,missing_canton_20200
20201,0,TRUE,NA,NA,FALSE,missing_canton_20201
20202,0,TRUE,NA,NA,FALSE,missing_canton_20202
20203,0,TRUE,NA,NA,FALSE,missing_canton_20203
20204,0,TRUE,NA,NA,FALSE,missing_canton_20204
20205,0,TRUE,NA,NA,FALSE,missing_canton_20205
20206,0,TRUE,NA,NA,FALSE,missing_canton_20206
20207,0,TRUE,NA,NA,FALSE,missing_canton_20207
20208,0,TRUE,NA,NA,FALSE,missing_canton_20208
20209,0,TRUE,NA,NA,FALSE,missing_canton_20209
20210,0,TRUE,NA,NA,FALSE,missing_canton_20210
20211,0,TRUE,NA,NA,FALSE,missing_canton_20211
20212,0,TRUE,NA,NA,FALSE,missing_canton_20212
20213,0,TRUE,NA,NA,FALSE,missing_canton_20213
20214,0,TRUE,NA,NA,FALSE,missing_canton_20214
20215,0,TRUE,NA,NA,FALSE,missing_canton_20215
20216,0,TRUE,NA,NA,FALSE,missing_canton_20216
20217,0,TRUE,NA,NA,FALSE,missing_canton_20217
20218,0,TRUE,NA,NA,FALSE,missing_canton_20218
20219,0,TRUE,NA,NA,FALSE,missing_canton_20219
20220,0,TRUE,NA,NA,FALSE,missing_canton_20220
20221,0,TRUE,NA,NA,FALSE,missing_canton_20221
20222,0,TRUE,NA,NA,FALSE,missing_canton_20222
20223,0,TRUE,NA,NA,FALSE,missing_canton_20223
20224,0,TRUE,NA,NA,FALSE,missing_canton_20224
20225,0,TRUE,NA,NA,FALSE,missing_canton_20225
20226,0,TRUE,NA,NA,FALSE,missing_canton_20226
20227,0,TRUE,NA,NA,FALSE,missing_canton_20227
20228,0,TRUE,NA,NA,FALSE,missing_canton_20228
20229,0,TRUE,NA,NA,FALSE,missing_canton_20229
20230,0,TRUE,NA,NA,FALSE,missing_canton_20230
20231,0,TRUE,NA,NA,FALSE,missing_canton_20231
20232,0,TRUE,NA,NA,FALSE,missing_canton_20232
20233,0,TRUE,NA,NA,FALSE,missing_canton_20233
20234,0,TRUE,NA,NA,FALSE,missing_canton_20234
20235,0,TRUE,NA,NA,FALSE,missing_canton_20235
20236,0,TRUE,NA,NA,FALSE,missing_canton_20236
20238,0,TRUE,NA,NA,FALSE,missing_canton_20238
20239,0,TRUE,NA,NA,FALSE,missing_canton_20239
20240,0,TRUE,NA,NA,FALSE,missing_canton_20240
